id,name,team,height,weight,year,position,hometown,state,country,latitude,longitude,formatted_height
4685506,Ryan Otton,Washington,78.0,257.0,2.0,TE,Tumwater,WA,USA,47.0080655,-122.910368,"6'6"""
4689338,Dillon Johnson,Washington,72.0,218.0,3.0,RB,Greenville,MS,USA,33.4111051,-91.0635857,"6'0"""
4691142,Vincent Nunley,Washington,73.0,187.0,2.0,S,Oakland,CA,USA,37.8044557,-122.271356,"6'1"""
4696013,Adam Saul,Washington,78.0,192.0,3.0,P,Gurnee,IL,USA,42.3702996,-87.9020186,"6'6"""
4697671,Bradley McGannon,Washington,76.0,283.0,2.0,DL,Yelm,WA,USA,46.9413877,-122.60639,"6'4"""
4697673,Addison Shrock,Washington,73.0,188.0,2.0,PK,Bellingham,WA,USA,48.7544012,-122.478836,"6'1"""
4816090,Parker Brailsford,Washington,74.0,290.0,2.0,OL,Mesa,AZ,USA,33.4151005,-111.831455,"6'2"""
4816097,Lance Holtzclaw,Washington,75.0,224.0,2.0,EDGE,Dorchester,MA,USA,42.301376000000005,-71.06127441375656,"6'3"""
4832800,Denzel Boston,Washington,76.0,209.0,2.0,WR,South Hill,WA,USA,47.11986215,-122.29017095173586,"6'4"""
4868898,Jalen Klemm,Washington,78.0,285.0,2.0,OL,Mars,PA,USA,40.6958342,-80.011878,"6'6"""
4870758,Anthony James,Washington,77.0,272.0,1.0,DE,Lavon,TX,USA,33.0276193,-96.4341524,"6'5"""
4870905,Caleb Presley,Washington,72.0,177.0,1.0,CB,Federal Way,WA,USA,47.313494,-122.33931,"6'0"""
4870915,Curley Reed III,Washington,73.0,191.0,1.0,CB,Iowa,LA,USA,30.2368772,-93.0137569,"6'1"""
4871068,Rashid Williams,Washington,73.0,181.0,1.0,WR,Brentwood,CA,USA,37.9317766,-121.696026,"6'1"""
4875340,Davon Banks,Washington,71.0,184.0,3.0,CB,San Jacinto,CA,USA,33.7839664,-116.9589086,"5'11"""
4875341,Camden Sirmon,Washington,72.0,196.0,3.0,WR,Missoula,MT,USA,46.8701049,-113.995267,"6'0"""
4875346,Mason Wheeler,Washington,69.0,173.0,3.0,WR,Vancouver,WA,USA,45.6306954,-122.6744557,"5'9"""
4875348,Milton Hopkins Jr.,Washington,76.0,232.0,3.0,EDGE,Seattle,WA,USA,47.6038321,-122.330062,"6'4"""
4875350,Quentin Moore,Washington,76.0,257.0,4.0,TE,Kenmore,WA,USA,47.7596715,-122.2496367,"6'4"""
4875351,Griffin Waiss,Washington,77.0,245.0,3.0,TE,San Jose,CA,USA,37.3361663,-121.890591,"6'5"""
4876132,Josh Cuevas,Washington,75.0,251.0,3.0,TE,Los Angeles,CA,USA,34.0536909,-118.242766,"6'3"""
4880856,Alex Froelich,Washington,74.0,213.0,2.0,LS,South Pasadena,CA,USA,34.1133062,-118.1478291,"6'2"""
4880858,Jake Jennings,Washington,76.0,229.0,3.0,EDGE,Gig Harbor,WA,USA,47.3259697,-122.5878659,"6'4"""
4890418,Teddy Purcell,Washington,73.0,186.0,3.0,QB,Atherton,CA,USA,37.453773,-122.2058272,"6'1"""
